Comments,Comment Upvote,Time
I love you Lord. Please forgive us! Have mercy on my soul.️️,3,1 year ago (edited)
Powerful Message from Billy Graham he truly missed and he is in Heaven with our Lord... God bless you all in Jesus mighty name...,1,3 months ago
Glory to the Almighty,13,3 years ago
AMEN Glory to God AMEN AMEN AMEN I love withall my heart..,1,3 years ago
Amen Praise God the Highest ,1,1 year ago
Nothing is impossible without God ,1,1 year ago
I'm blessed through this Gospels word's,4,1 year ago
Best preacher of our times! Thank you Billy for all your sermons.  Praise Almighty God & sweet Lord Jesus Christ! !,1,2 years ago
"Use me lord! Use me tomorrow, use me every day of my life! Free me from my sins and my fears. I ask for mercy God. I ask you to meet me in my needs. But do it on your terms. Even if it hurts",10,3 years ago
Hallelujah ,1,1 month ago
Lord Jesus I love you Lord 🖑,2,2 years ago
Amen Glory To Jesus ,1,2 years ago
"This is the day. I saw it coming in a vision. God spoke once twice have I heard that ""Power belongs to God""",1,3 years ago
"Thank you  father God almighty for  your love and mercy and grace.
Thank you Jesus Christ for the cross.",1,3 years ago
Can’t help but cry. ,39,4 years ago
"I believe in Jesus Christ and Lord, GOD  who is unchangeable",1,3 months ago
Amen halleluja ,10,2 years ago
"Thank you Lord, Thank you.",5,2 years ago
Very truly said,4,2 years ago
Unchangeable God we serve! Thank You Jesus!,2,1 month ago
Thank you Lord Jesus for Billy Graham,21,4 years ago
Great stuff!!!,2,1 month ago
Thank you for posting Billy Graham's messages to us !,1,4 months ago
"God i need ur mercy , forgiveness,and love by ur grace AMEN i love u jesus",--,1 month ago
"Thank you for translate in bahasa Indonesia, love it..powerfull   Sermon",1,3 years ago
What a Saviour. What more can be said.,1,1 year ago
"He offers grace, mercy, forgiveness, and salvation (eternal life).  Recieve Him!",23,3 years ago
I have only recently discovered the recordings of Billy Graham. I am very grateful to Almighty GOD for directing me to them. Praise Almighty GOD and my Lord and saviour Jesus Christ. Amen,2,2 years ago
God doesn't change...Truth is by the word of God..We will find Christ and with His knowledge can be with God..Amen Brother Graham..,3,2 years ago (edited)
Dear Lord forgive me for all my sins... May ur holy spirit help me to change,1,6 months ago
RIP BILLY .G.THANK YOU LORD FOR GIVING HIM TO US AND PREACH YOUR WORD.,1,2 weeks ago
"I’m not even religious but thanks for this uplifting vibes ,before I start my shift at work .big ups !",3,2 years ago
PRAISE THE LORD JESUS CHRIST,22,4 years ago
"AMEN!!!!
PRAISE the LORD for HIS mercy and HIS grace!!!!!",1,3 years ago
I love my lord ️,4,2 years ago
Very powerful message. Amen!!!,1,2 years ago
Amen thank you for everything you do god bless,1,3 years ago
I'm blessed and loved by GOD ,1,3 months ago
This is exactly what I needed to hear,3,3 years ago
"If you’ve got pain
He’s a pain taker,
If you feel lost
He’s a way maker,",1,3 years ago
"God will forever be our Beginning, Middle, and End!!!",1,1 year ago
Thank YOU LORD Amen,1,1 year ago
What a wonderful message! If this message cannot change or save a person means...any religion in this world cannot save a person...believe Jesus is the unchanging Lord and Saviour of humanity....,1,3 years ago
AMEN TO THIS PRAYER ️ GLORY BE TO THE LIVING GOD JESUS CHRIST OF NAZARETH AMEN ,9,2 years ago
Amen glory to God.,44,4 years ago
"Oh, how I miss this man of God! I still love to hear his messages that touch the world's hearts for all of God's children. Thank you, Father God and Your Son Jesus for Billy Graham the love He had for You. The message you passed on to him to lead us to be saved by your Mercy and Grace. You are and will forever be a merciful and gracious Father, Son and Holy Spirit. May Billy Graham rest in your eternal glory as he was a true messenger. Praise be to your Glory.",1,2 years ago
God said give me your troubles give me your problems give me your worries and I will give you peace and rest.,1,3 weeks ago (edited)
Beautiful Messages As Always!,1,2 years ago
Love some Billy Graham. He is missed!,3,2 years ago
"inspired by Billy, and his delivery of THE WORD time and time again over the years",1,1 year ago
I pray that we shall not be left behind in Jesus Name Amen,8,3 years ago
Amen  God forgive me of all my sins,1,2 years ago
Powerful and beautiful words,1,8 months ago
"I'm Catholic and this is a great man, he lived his faith.",1,1 year ago
 good evening all  when I was growing up when the Billy Graham Crusaders would watch them,1,1 month ago
"Thank you Lord for loving us and your mercy on a sinner like me, thank you for your unchanging nature.",1,6 months ago
Lord forgive me for my sins that includes everything show me mercy..amen,8,4 years ago
God bless all people.  Amen ,1,3 months ago
I love his speech more than any other person's speech,1,2 years ago
This video of Billy Graham touches my heart every time I watch it. Everything so true… brings tears to my eyes. Thank you ,1,3 years ago
Amen ️️ praise Johava God and Jesus Christ our Lord and Savior.,1,2 years ago
Thank you Man of God ur message   inspired to me ,1,1 year ago
I wish I could've attended a sermon given by Pastor Billy Graham. What a man.,99,4 years ago
"God is good,  he is the best  there is,  Amen",1,1 year ago
Whenever i listen i feel the blessings of Lord. Great man of God,1,2 years ago
"Our Lord forgives n forgets....
Holy be dy Name....Amen.",2,2 years ago
"I love Billy Graham's  and all his sermons,he inspired the world, .I'm very 
much Thankful  to God for him,I know that he is in heaven now,I love
watching all his videos ang it helps me to grow my espiritual  life as a Born Again Christian here in the Philippines, I owe this so much. Thank you so much!God bless you all",1,3 years ago
Thank you Brother Graham. What a Blessed Anointed Christian.,1,2 years ago
This literally brought me to tears. The Lord is so Good and my prayer is that those I come in contact with and are close to my heart accept Christ into their hearts. God Bless!,12,4 years ago
Amen thank you my God Jesus Christ has save me and I have sin against you. Every day I repent my sin to you my mighty God,3,2 years ago
"Dear Lord, I thank YOU for everything you did and do for me. I thank YOU for this life and I recieve and accept you as my Lord and Saviour, because IT IS YOU WHO DIED ON THE CROSS for my sinns. 

In love, I AM YOUR child and I belong to YOU Jesus. YOU are the same, yesterday, today and tomorow. ",1,7 months ago
"LONGING

I long for you Oh Father God
With my entire being",1,2 years ago
"When I stand there, I'm not going to ask for judgement ..I'm going to ask for mercy!""",1,6 months ago
"Oh lord we ask have mercy on us these tough days! May all people seek your grace & realized that you’re the only way, truth & life.",1,5 months ago
"Thank you Jesus....
God given message from the Man of God",12,3 years ago
"Jesus clearly said ""I am the Way, the Truth and the Life""  No one sees the Father, but by Me!  This is absolute Truth that will never change!",1,2 years ago
"Thank YOU,and we you thank you and your family ",2,2 months ago
"Jesus Christ healed me! This is my story about my healing!I was extremely ill! I had diabetes and kidney failure, which urgently requires dialysis! I prayed to God to heal me, not for me, because I don't deserve it, but for my little children, who were left without a mother! in exactly that day, in which I prayed, the Lord healed me! I suddenly felt the pain in my kidneys go away, as well as the dryness in my mouth (diabetes). I'm a new women now! I thank the Lord for His mercy and love for us!!!!!!",1,7 months ago
There is power in his name,1,1 year ago
"AMEN.This is most POSITIVE video I've seen today. I'm using my time off work to pray more. I'm not alone; HE is with me. I'm calm, relaxed, & not stressing/worrying about shit. GOD DIVINE has my back......",1,2 years ago
"I'm in the middle of the familiar storm and it's hard, painful but GOD is with me and in control. No matter what happen around myself I'm choosen, blessed, loved for God  If God is with me who can againts me. Hallelujah ",8,3 years ago
God loves us and He never changes Amen ,3,2 years ago
God first in every step in our lives,4,1 year ago
Thank You Lord God...,2,2 years ago
Yes I agree God will never changed but we must be change in the name of Jesus Christ amen and amen Hallelujah,1,1 year ago
A message for 2020 have mercy on us Lord.,1,6 months ago
Absolutely powerful,8,3 years ago
Amen God bless you have a blessed day,2,2 months ago
"i needed this, thank you. I hope many will see this. I will try my best to spread the word",1,1 year ago
Fantastic message of Gospel ,2,2 years ago
GOD Loves us.We are special to HIM.,1,1 year ago
Powerful words that hold the key to a life in relationship with a wonderful God,1,1 year ago
Praise the LORD,10,3 years ago
Am so blessed when I listening this,1,2 years ago
Praise the lord ️,1,3 years ago
"AMEN, BROTHER, JESUS SAVES, JESUS IS THE PRINCE OF PEACE, THE LIGHT OF THE WORLD, AND THE TRUTH. I LOVE JESUS AND JESUS LOVES ALL! ",1,8 months ago
GLORY GLORY GLORY GLORY GLORY GLORY GLORY GLORY GLORY!!,1,1 year ago
"Amen , Thank you for your grace and mercy my lord JESUS",2,4 months ago
I serve the unchanging God... praise the Lord.,5,4 years ago
"Jesus ,help me to overcome my fears and doubts and to trust you",1,1 month ago
"I have listened to this SOOOOO many times I never get tired of it. Pastor Billy Graham spoke the truth. Thank GOD WE HAVE SUCH A FORGIVING ,CARING, JUST, AND A GOD OF LOVE .",1,13 days ago
"God you know all my sins, you have brought me through deep water, and I don't understand why, 
Lord I thank you and love you, in Jesus mighty name,Amen",1,3 years ago
The hair on my skin stands up each time I hear Billy Graham speak.I can only imagine what it must have been to hear the apostles preach..... ,1,1 month ago
"Powerful message, love this, the word of God is timeless.",1,2 years ago
AMEN... AMEN...Thanks Father God for your mercy thanks for everything in my life ..Thank you for not abandon me .. Have your Hands on every one .,7,4 years ago
Amen hallelujah praise lord Jesus Christ,2,1 year ago
Lord Jesus forgive me for my sins and come into my heart. I make you my lord and savior,1,1 year ago
"POWERFUL INDEED!!!!!! It’s miraculous that this wonderful man of God, chosen to lead others to Christ, is STILL affecting lives today! I pray, in Jesus name, that these sermons will continue to change lives through the many videos available on YouTube. I PRAISE–YOU FATHER GOD–in Jesus name, for the work YOU did through Billy‘s life. The many thousands, whom gave their lives to you, FATHER GOD, because they “surrendered all”. And certainly because Billy Graham was chosen by YOU, LORD, to do a mighty work in this world and especially because he indeed, “surrendered all”. Hallelujah!! PTL forever!!!",1,2 years ago
"He will never change, so we can change to be more like Him. We will never be Him, but we can grow to become more loving and caring and  able to reach out to help others. We serve a mighty God.",1,2 years ago
"Jesus is the same yesterday,  today and forever. He is the way, the truth and the life. O praise the Lord,  O my soul,  praise his holy name   hallelujah ",1,8 months ago
"Lord Jesus have mercy on me,,I confess you as my personal lord and savior",10,4 years ago
TRUE WHAT HE PREDICT.AMEN,1,7 months ago
Thank you Lord Jesus for what you did for us on the cross... and I Love you too!!! ,2,1 year ago
